Epoch: 0   |   Top1: 2.47678%   |   Top5: 14.86068%   |   Top10: 23.52941%
Epoch: 1   |   Top1: 6.19195%   |   Top5: 21.36223%   |   Top10: 30.65015%
Epoch: 2   |   Top1: 6.50155%   |   Top5: 25.387%   |   Top10: 42.10526%
Epoch: 3   |   Top1: 7.73994%   |   Top5: 33.74613%   |   Top10: 52.63158%
Epoch: 4   |   Top1: 13.62229%   |   Top5: 42.10526%   |   Top10: 60.99071%
Epoch: 5   |   Top1: 13.62229%   |   Top5: 39.93808%   |   Top10: 59.75232%
Epoch: 6   |   Top1: 11.45511%   |   Top5: 43.96285%   |   Top10: 60.37152%
Epoch: 7   |   Top1: 14.55108%   |   Top5: 45.20124%   |   Top10: 61.9195%
Epoch: 8   |   Top1: 21.05263%   |   Top5: 53.56037%   |   Top10: 68.11146%
Epoch: 9   |   Top1: 21.05263%   |   Top5: 50.4644%   |   Top10: 68.42105%
Epoch: 10   |   Top1: 17.95666%   |   Top5: 45.20124%   |   Top10: 64.39628%
Epoch: 11   |   Top1: 17.95666%   |   Top5: 49.5356%   |   Top10: 67.49226%
Epoch: 12   |   Top1: 21.05263%   |   Top5: 51.70279%   |   Top10: 70.27864%
Epoch: 13   |   Top1: 21.36223%   |   Top5: 59.13313%   |   Top10: 74.9226%
Epoch: 14   |   Top1: 21.67183%   |   Top5: 57.89474%   |   Top10: 77.70898%
Epoch: 15   |   Top1: 20.74303%   |   Top5: 59.44272%   |   Top10: 76.47059%
Epoch: 16   |   Top1: 21.05263%   |   Top5: 59.75232%   |   Top10: 77.08978%
Epoch: 17   |   Top1: 23.83901%   |   Top5: 60.99071%   |   Top10: 77.08978%
Epoch: 18   |   Top1: 21.98142%   |   Top5: 58.20433%   |   Top10: 78.01858%
Epoch: 19   |   Top1: 25.387%   |   Top5: 62.2291%   |   Top10: 75.5418%
Epoch: 20   |   Top1: 21.98142%   |   Top5: 63.46749%   |   Top10: 77.39938%
Epoch: 21   |   Top1: 23.52941%   |   Top5: 60.06192%   |   Top10: 79.25697%
Epoch: 22   |   Top1: 24.14861%   |   Top5: 61.30031%   |   Top10: 78.94737%
Epoch: 23   |   Top1: 20.74303%   |   Top5: 54.48916%   |   Top10: 72.13622%
Epoch: 24   |   Top1: 20.12384%   |   Top5: 54.79876%   |   Top10: 69.96904%
Epoch: 25   |   Top1: 17.95666%   |   Top5: 53.56037%   |   Top10: 68.42105%
Epoch: 26   |   Top1: 21.98142%   |   Top5: 55.41796%   |   Top10: 71.82663%
Epoch: 27   |   Top1: 20.12384%   |   Top5: 54.79876%   |   Top10: 70.89783%
Epoch: 28   |   Top1: 19.81424%   |   Top5: 52.01238%   |   Top10: 69.65944%
Epoch: 29   |   Top1: 12.3839%   |   Top5: 46.74923%   |   Top10: 63.46749%
Epoch: 30   |   Top1: 17.33746%   |   Top5: 53.25077%   |   Top10: 71.51703%
Epoch: 31   |   Top1: 25.0774%   |   Top5: 60.37152%   |   Top10: 74.30341%
Epoch: 32   |   Top1: 29.41176%   |   Top5: 61.60991%   |   Top10: 78.01858%
Epoch: 33   |   Top1: 25.0774%   |   Top5: 62.2291%   |   Top10: 77.70898%
Epoch: 34   |   Top1: 24.4582%   |   Top5: 58.82353%   |   Top10: 76.16099%
Epoch: 35   |   Top1: 27.55418%   |   Top5: 65.32508%   |   Top10: 81.42415%
Epoch: 36   |   Top1: 22.60062%   |   Top5: 62.2291%   |   Top10: 78.94737%
Epoch: 37   |   Top1: 24.14861%   |   Top5: 64.39628%   |   Top10: 76.78019%
Epoch: 38   |   Top1: 23.52941%   |   Top5: 65.63467%   |   Top10: 78.32817%
