Epoch: 0   |   Top1: 8.66873%   |   Top5: 25.0774%   |   Top10: 36.53251%
Epoch: 1   |   Top1: 7.12074%   |   Top5: 26.31579%   |   Top10: 40.55728%
Epoch: 2   |   Top1: 7.43034%   |   Top5: 29.72136%   |   Top10: 49.8452%
Epoch: 3   |   Top1: 9.59752%   |   Top5: 30.95975%   |   Top10: 48.91641%
Epoch: 4   |   Top1: 12.0743%   |   Top5: 31.26935%   |   Top10: 47.36842%
Epoch: 5   |   Top1: 12.0743%   |   Top5: 33.74613%   |   Top10: 52.32198%
Epoch: 6   |   Top1: 15.17028%   |   Top5: 40.55728%   |   Top10: 59.75232%
Epoch: 7   |   Top1: 16.09907%   |   Top5: 36.84211%   |   Top10: 56.65635%
Epoch: 8   |   Top1: 13.31269%   |   Top5: 38.0805%   |   Top10: 54.48916%
Epoch: 9   |   Top1: 15.17028%   |   Top5: 40.55728%   |   Top10: 57.27554%
Epoch: 10   |   Top1: 16.09907%   |   Top5: 45.82043%   |   Top10: 61.9195%
Epoch: 11   |   Top1: 15.78947%   |   Top5: 47.36842%   |   Top10: 66.87307%
Epoch: 12   |   Top1: 17.02786%   |   Top5: 47.67802%   |   Top10: 66.87307%
Epoch: 13   |   Top1: 17.02786%   |   Top5: 51.70279%   |   Top10: 69.04025%
Epoch: 14   |   Top1: 15.47988%   |   Top5: 48.29721%   |   Top10: 65.94427%
Epoch: 15   |   Top1: 17.02786%   |   Top5: 55.72755%   |   Top10: 74.613%
Epoch: 16   |   Top1: 17.33746%   |   Top5: 50.4644%   |   Top10: 70.58824%
Epoch: 17   |   Top1: 20.12384%   |   Top5: 53.86997%   |   Top10: 74.30341%
Epoch: 18   |   Top1: 16.40867%   |   Top5: 53.25077%   |   Top10: 65.94427%
Epoch: 19   |   Top1: 20.12384%   |   Top5: 52.32198%   |   Top10: 71.20743%
Epoch: 20   |   Top1: 15.47988%   |   Top5: 48.29721%   |   Top10: 67.49226%
Epoch: 21   |   Top1: 21.67183%   |   Top5: 53.86997%   |   Top10: 73.37461%
Epoch: 22   |   Top1: 22.29102%   |   Top5: 56.34675%   |   Top10: 72.75542%
Epoch: 23   |   Top1: 21.05263%   |   Top5: 53.56037%   |   Top10: 77.39938%
Epoch: 24   |   Top1: 22.91022%   |   Top5: 56.03715%   |   Top10: 74.9226%
Epoch: 25   |   Top1: 20.12384%   |   Top5: 53.86997%   |   Top10: 71.82663%
Epoch: 26   |   Top1: 21.36223%   |   Top5: 54.48916%   |   Top10: 72.13622%
Epoch: 27   |   Top1: 21.05263%   |   Top5: 54.48916%   |   Top10: 73.37461%
Epoch: 28   |   Top1: 17.64706%   |   Top5: 52.01238%   |   Top10: 73.37461%
Epoch: 29   |   Top1: 21.98142%   |   Top5: 56.34675%   |   Top10: 73.99381%
Epoch: 30   |   Top1: 20.12384%   |   Top5: 56.65635%   |   Top10: 77.39938%
Epoch: 31   |   Top1: 22.60062%   |   Top5: 52.94118%   |   Top10: 71.51703%
Epoch: 32   |   Top1: 22.29102%   |   Top5: 53.56037%   |   Top10: 73.37461%
Epoch: 33   |   Top1: 25.387%   |   Top5: 56.03715%   |   Top10: 75.2322%
Epoch: 34   |   Top1: 21.05263%   |   Top5: 54.17957%   |   Top10: 74.9226%
Epoch: 35   |   Top1: 20.12384%   |   Top5: 56.65635%   |   Top10: 75.5418%
Epoch: 36   |   Top1: 22.60062%   |   Top5: 56.34675%   |   Top10: 74.613%
Epoch: 37   |   Top1: 22.29102%   |   Top5: 58.51393%   |   Top10: 77.70898%
Epoch: 38   |   Top1: 20.43344%   |   Top5: 52.94118%   |   Top10: 75.5418%
Epoch: 39   |   Top1: 24.14861%   |   Top5: 56.65635%   |   Top10: 74.9226%
Epoch: 40   |   Top1: 24.14861%   |   Top5: 53.86997%   |   Top10: 74.30341%
Epoch: 41   |   Top1: 21.67183%   |   Top5: 56.03715%   |   Top10: 73.06502%
Epoch: 42   |   Top1: 23.52941%   |   Top5: 56.96594%   |   Top10: 77.70898%
Epoch: 43   |   Top1: 22.29102%   |   Top5: 57.27554%   |   Top10: 73.06502%
Epoch: 44   |   Top1: 23.83901%   |   Top5: 56.34675%   |   Top10: 78.63777%
Epoch: 45   |   Top1: 26.31579%   |   Top5: 56.03715%   |   Top10: 74.30341%
Epoch: 46   |   Top1: 23.52941%   |   Top5: 55.72755%   |   Top10: 71.51703%
Epoch: 47   |   Top1: 22.29102%   |   Top5: 55.72755%   |   Top10: 76.47059%
Epoch: 48   |   Top1: 20.43344%   |   Top5: 55.41796%   |   Top10: 73.37461%
Epoch: 49   |   Top1: 26.31579%   |   Top5: 58.82353%   |   Top10: 78.32817%
Epoch: 50   |   Top1: 24.14861%   |   Top5: 55.10836%   |   Top10: 72.44582%
