Epoch: 0   |   Top1: 8.35913%   |   Top5: 28.17337%   |   Top10: 44.27245%
Epoch: 1   |   Top1: 12.3839%   |   Top5: 41.17647%   |   Top10: 65.32508%
Epoch: 2   |   Top1: 17.33746%   |   Top5: 41.79567%   |   Top10: 59.13313%
Epoch: 3   |   Top1: 19.81424%   |   Top5: 51.08359%   |   Top10: 69.65944%
Epoch: 4   |   Top1: 19.19505%   |   Top5: 47.36842%   |   Top10: 61.30031%
Epoch: 5   |   Top1: 21.67183%   |   Top5: 57.27554%   |   Top10: 71.82663%
Epoch: 6   |   Top1: 23.83901%   |   Top5: 56.65635%   |   Top10: 71.20743%
Epoch: 7   |   Top1: 27.86378%   |   Top5: 60.99071%   |   Top10: 75.2322%
Epoch: 8   |   Top1: 25.0774%   |   Top5: 64.70588%   |   Top10: 80.18576%
Epoch: 9   |   Top1: 21.05263%   |   Top5: 57.89474%   |   Top10: 75.85139%
Epoch: 10   |   Top1: 22.60062%   |   Top5: 59.13313%   |   Top10: 73.37461%
Epoch: 11   |   Top1: 22.29102%   |   Top5: 57.27554%   |   Top10: 71.20743%
Epoch: 12   |   Top1: 28.48297%   |   Top5: 62.2291%   |   Top10: 79.56656%
Epoch: 13   |   Top1: 31.26935%   |   Top5: 65.63467%   |   Top10: 80.49536%
Epoch: 14   |   Top1: 28.48297%   |   Top5: 68.11146%   |   Top10: 81.11455%
Epoch: 15   |   Top1: 29.41176%   |   Top5: 67.18266%   |   Top10: 83.28173%
Epoch: 16   |   Top1: 32.50774%   |   Top5: 65.94427%   |   Top10: 83.28173%
Epoch: 17   |   Top1: 35.91331%   |   Top5: 66.56347%   |   Top10: 80.18576%
Epoch: 18   |   Top1: 30.95975%   |   Top5: 67.18266%   |   Top10: 78.63777%
Epoch: 19   |   Top1: 27.55418%   |   Top5: 60.37152%   |   Top10: 73.99381%
Epoch: 20   |   Top1: 28.17337%   |   Top5: 67.49226%   |   Top10: 80.49536%
Epoch: 21   |   Top1: 31.26935%   |   Top5: 67.80186%   |   Top10: 84.52012%
Epoch: 22   |   Top1: 28.79257%   |   Top5: 63.15789%   |   Top10: 78.63777%
Epoch: 23   |   Top1: 27.55418%   |   Top5: 61.60991%   |   Top10: 80.80495%
Epoch: 24   |   Top1: 26.93498%   |   Top5: 63.77709%   |   Top10: 79.87616%
Epoch: 25   |   Top1: 30.95975%   |   Top5: 65.32508%   |   Top10: 80.18576%
Epoch: 26   |   Top1: 31.88854%   |   Top5: 65.94427%   |   Top10: 84.82972%
Epoch: 27   |   Top1: 30.03096%   |   Top5: 67.18266%   |   Top10: 79.56656%
Epoch: 28   |   Top1: 27.55418%   |   Top5: 65.94427%   |   Top10: 82.66254%
Epoch: 29   |   Top1: 26.00619%   |   Top5: 54.48916%   |   Top10: 72.13622%
Epoch: 30   |   Top1: 30.34056%   |   Top5: 67.49226%   |   Top10: 81.73375%
Epoch: 31   |   Top1: 24.4582%   |   Top5: 56.03715%   |   Top10: 74.613%
Epoch: 32   |   Top1: 24.7678%   |   Top5: 62.8483%   |   Top10: 78.01858%
Epoch: 33   |   Top1: 25.0774%   |   Top5: 62.8483%   |   Top10: 80.18576%
Epoch: 34   |   Top1: 23.21981%   |   Top5: 56.34675%   |   Top10: 75.2322%
Epoch: 35   |   Top1: 24.4582%   |   Top5: 63.46749%   |   Top10: 79.25697%
Epoch: 36   |   Top1: 26.31579%   |   Top5: 63.77709%   |   Top10: 77.39938%
Epoch: 37   |   Top1: 23.21981%   |   Top5: 60.06192%   |   Top10: 76.16099%
Epoch: 38   |   Top1: 28.48297%   |   Top5: 66.25387%   |   Top10: 84.82972%
Epoch: 39   |   Top1: 31.26935%   |   Top5: 72.13622%   |   Top10: 84.52012%
Epoch: 40   |   Top1: 30.03096%   |   Top5: 69.65944%   |   Top10: 82.66254%
Epoch: 41   |   Top1: 30.34056%   |   Top5: 68.42105%   |   Top10: 80.18576%
Epoch: 42   |   Top1: 38.39009%   |   Top5: 77.08978%   |   Top10: 88.85449%
Epoch: 43   |   Top1: 32.19814%   |   Top5: 66.25387%   |   Top10: 82.04334%
Epoch: 44   |   Top1: 29.41176%   |   Top5: 68.42105%   |   Top10: 83.28173%
Epoch: 45   |   Top1: 28.48297%   |   Top5: 60.68111%   |   Top10: 80.80495%
Epoch: 46   |   Top1: 27.86378%   |   Top5: 65.63467%   |   Top10: 82.35294%
Epoch: 47   |   Top1: 28.17337%   |   Top5: 66.56347%   |   Top10: 80.49536%
Epoch: 48   |   Top1: 33.43653%   |   Top5: 73.37461%   |   Top10: 86.9969%
Epoch: 49   |   Top1: 31.88854%   |   Top5: 71.20743%   |   Top10: 85.13932%
Epoch: 50   |   Top1: 32.81734%   |   Top5: 70.89783%   |   Top10: 87.3065%
Epoch: 51   |   Top1: 33.43653%   |   Top5: 69.96904%   |   Top10: 84.21053%
Epoch: 52   |   Top1: 30.65015%   |   Top5: 65.94427%   |   Top10: 78.32817%
Epoch: 53   |   Top1: 25.69659%   |   Top5: 61.9195%   |   Top10: 82.04334%
Epoch: 54   |   Top1: 26.93498%   |   Top5: 60.06192%   |   Top10: 78.32817%
Epoch: 55   |   Top1: 30.03096%   |   Top5: 65.63467%   |   Top10: 82.04334%
Epoch: 56   |   Top1: 34.36533%   |   Top5: 74.9226%   |   Top10: 86.68731%
Epoch: 57   |   Top1: 36.53251%   |   Top5: 75.85139%   |   Top10: 86.9969%
Epoch: 58   |   Top1: 33.43653%   |   Top5: 72.13622%   |   Top10: 83.28173%
Epoch: 59   |   Top1: 31.26935%   |   Top5: 67.49226%   |   Top10: 80.18576%
Epoch: 60   |   Top1: 36.53251%   |   Top5: 68.73065%   |   Top10: 83.28173%
Epoch: 61   |   Top1: 31.88854%   |   Top5: 66.87307%   |   Top10: 81.11455%
Epoch: 62   |   Top1: 31.88854%   |   Top5: 65.94427%   |   Top10: 84.82972%
Epoch: 63   |   Top1: 30.65015%   |   Top5: 65.63467%   |   Top10: 80.18576%
Epoch: 64   |   Top1: 28.48297%   |   Top5: 66.87307%   |   Top10: 80.18576%
Epoch: 65   |   Top1: 25.69659%   |   Top5: 64.08669%   |   Top10: 82.97214%
Epoch: 66   |   Top1: 24.14861%   |   Top5: 55.41796%   |   Top10: 73.06502%
Epoch: 67   |   Top1: 30.65015%   |   Top5: 67.80186%   |   Top10: 82.04334%
Epoch: 68   |   Top1: 30.95975%   |   Top5: 70.89783%   |   Top10: 85.75851%
Epoch: 69   |   Top1: 27.55418%   |   Top5: 65.63467%   |   Top10: 81.11455%
Epoch: 70   |   Top1: 27.86378%   |   Top5: 60.68111%   |   Top10: 75.5418%
Epoch: 71   |   Top1: 35.60372%   |   Top5: 70.27864%   |   Top10: 82.35294%
Epoch: 72   |   Top1: 26.93498%   |   Top5: 66.25387%   |   Top10: 79.25697%
Epoch: 73   |   Top1: 24.7678%   |   Top5: 61.60991%   |   Top10: 78.32817%
Epoch: 74   |   Top1: 31.26935%   |   Top5: 62.8483%   |   Top10: 75.85139%
Epoch: 75   |   Top1: 30.65015%   |   Top5: 65.94427%   |   Top10: 80.80495%
Epoch: 76   |   Top1: 29.41176%   |   Top5: 65.32508%   |   Top10: 79.56656%
Epoch: 77   |   Top1: 28.17337%   |   Top5: 64.08669%   |   Top10: 80.80495%
