Epoch: 0   |   Top1: 4.0%   |   Top5: 11.13514%   |   Top10: 17.2973%
Epoch: 1   |   Top1: 5.2973%   |   Top5: 14.81081%   |   Top10: 23.35135%
Epoch: 2   |   Top1: 9.2973%   |   Top5: 25.40541%   |   Top10: 38.37838%
Epoch: 3   |   Top1: 10.37838%   |   Top5: 27.45946%   |   Top10: 38.05405%
Epoch: 4   |   Top1: 12.86486%   |   Top5: 34.27027%   |   Top10: 46.7027%
Epoch: 5   |   Top1: 14.91892%   |   Top5: 37.18919%   |   Top10: 49.08108%
Epoch: 6   |   Top1: 17.72973%   |   Top5: 45.62162%   |   Top10: 59.89189%
Epoch: 7   |   Top1: 17.18919%   |   Top5: 41.2973%   |   Top10: 58.05405%
Epoch: 8   |   Top1: 23.24324%   |   Top5: 51.45946%   |   Top10: 64.0%
Epoch: 9   |   Top1: 19.35135%   |   Top5: 46.27027%   |   Top10: 61.08108%
Epoch: 10   |   Top1: 18.16216%   |   Top5: 47.89189%   |   Top10: 63.67568%
Epoch: 11   |   Top1: 22.27027%   |   Top5: 51.78378%   |   Top10: 66.05405%
Epoch: 12   |   Top1: 24.0%   |   Top5: 52.64865%   |   Top10: 67.78378%
Epoch: 13   |   Top1: 23.24324%   |   Top5: 51.89189%   |   Top10: 64.75676%
Epoch: 14   |   Top1: 22.91892%   |   Top5: 54.27027%   |   Top10: 69.2973%
Epoch: 15   |   Top1: 25.62162%   |   Top5: 56.32432%   |   Top10: 71.56757%
Epoch: 16   |   Top1: 23.78378%   |   Top5: 53.08108%   |   Top10: 69.08108%
Epoch: 17   |   Top1: 25.62162%   |   Top5: 60.32432%   |   Top10: 74.7027%
Epoch: 18   |   Top1: 25.94595%   |   Top5: 56.86486%   |   Top10: 70.7027%
Epoch: 19   |   Top1: 22.81081%   |   Top5: 51.24324%   |   Top10: 66.16216%
Epoch: 20   |   Top1: 25.62162%   |   Top5: 57.08108%   |   Top10: 70.7027%
Epoch: 21   |   Top1: 29.94595%   |   Top5: 62.48649%   |   Top10: 73.40541%
Epoch: 22   |   Top1: 28.75676%   |   Top5: 64.64865%   |   Top10: 76.64865%
Epoch: 23   |   Top1: 24.43243%   |   Top5: 54.27027%   |   Top10: 69.40541%
Epoch: 24   |   Top1: 25.94595%   |   Top5: 58.7027%   |   Top10: 73.83784%
Epoch: 25   |   Top1: 26.59459%   |   Top5: 62.37838%   |   Top10: 76.43243%
Epoch: 26   |   Top1: 30.91892%   |   Top5: 64.10811%   |   Top10: 76.43243%
Epoch: 27   |   Top1: 30.59459%   |   Top5: 62.27027%   |   Top10: 77.94595%
Epoch: 28   |   Top1: 28.64865%   |   Top5: 60.75676%   |   Top10: 74.91892%
Epoch: 29   |   Top1: 29.72973%   |   Top5: 62.81081%   |   Top10: 78.16216%
Epoch: 30   |   Top1: 29.94595%   |   Top5: 60.75676%   |   Top10: 73.18919%
Epoch: 31   |   Top1: 27.24324%   |   Top5: 59.89189%   |   Top10: 72.97297%
Epoch: 32   |   Top1: 31.13514%   |   Top5: 67.13514%   |   Top10: 79.78378%
Epoch: 33   |   Top1: 28.21622%   |   Top5: 63.78378%   |   Top10: 76.64865%
Epoch: 34   |   Top1: 24.97297%   |   Top5: 56.10811%   |   Top10: 69.51351%
Epoch: 35   |   Top1: 33.40541%   |   Top5: 70.81081%   |   Top10: 84.0%
Epoch: 36   |   Top1: 33.94595%   |   Top5: 69.18919%   |   Top10: 80.54054%
Epoch: 37   |   Top1: 29.51351%   |   Top5: 59.35135%   |   Top10: 72.64865%
Epoch: 38   |   Top1: 36.97297%   |   Top5: 73.08108%   |   Top10: 85.18919%
Epoch: 39   |   Top1: 35.89189%   |   Top5: 74.16216%   |   Top10: 85.08108%
Epoch: 40   |   Top1: 29.83784%   |   Top5: 66.81081%   |   Top10: 79.45946%
Epoch: 41   |   Top1: 33.2973%   |   Top5: 70.16216%   |   Top10: 83.02703%
Epoch: 42   |   Top1: 37.40541%   |   Top5: 74.05405%   |   Top10: 85.2973%
Epoch: 43   |   Top1: 38.81081%   |   Top5: 78.37838%   |   Top10: 88.54054%
Epoch: 44   |   Top1: 36.32432%   |   Top5: 73.72973%   |   Top10: 84.97297%
Epoch: 45   |   Top1: 32.75676%   |   Top5: 69.94595%   |   Top10: 81.51351%
Epoch: 46   |   Top1: 35.67568%   |   Top5: 73.94595%   |   Top10: 85.18919%
Epoch: 47   |   Top1: 38.91892%   |   Top5: 75.78378%   |   Top10: 88.32432%
Epoch: 48   |   Top1: 38.16216%   |   Top5: 75.78378%   |   Top10: 87.24324%
Epoch: 49   |   Top1: 41.2973%   |   Top5: 80.0%   |   Top10: 91.24324%
Epoch: 50   |   Top1: 32.97297%   |   Top5: 71.02703%   |   Top10: 83.45946%
Epoch: 51   |   Top1: 40.75676%   |   Top5: 80.86486%   |   Top10: 91.13514%
Epoch: 52   |   Top1: 41.2973%   |   Top5: 78.05405%   |   Top10: 90.16216%
Epoch: 53   |   Top1: 31.56757%   |   Top5: 66.48649%   |   Top10: 78.91892%
Epoch: 54   |   Top1: 39.02703%   |   Top5: 77.72973%   |   Top10: 88.54054%
Epoch: 55   |   Top1: 41.72973%   |   Top5: 80.21622%   |   Top10: 89.83784%
Epoch: 56   |   Top1: 36.0%   |   Top5: 69.83784%   |   Top10: 84.10811%
Epoch: 57   |   Top1: 34.81081%   |   Top5: 74.81081%   |   Top10: 86.37838%
Epoch: 58   |   Top1: 42.16216%   |   Top5: 79.56757%   |   Top10: 89.83784%
Epoch: 59   |   Top1: 39.78378%   |   Top5: 77.40541%   |   Top10: 87.56757%
Epoch: 60   |   Top1: 43.35135%   |   Top5: 80.64865%   |   Top10: 90.16216%
Epoch: 61   |   Top1: 40.54054%   |   Top5: 78.7027%   |   Top10: 88.43243%
Epoch: 62   |   Top1: 39.78378%   |   Top5: 76.21622%   |   Top10: 87.56757%
Epoch: 63   |   Top1: 40.54054%   |   Top5: 81.2973%   |   Top10: 90.59459%
Epoch: 64   |   Top1: 40.75676%   |   Top5: 81.72973%   |   Top10: 91.13514%
Epoch: 65   |   Top1: 43.56757%   |   Top5: 81.62162%   |   Top10: 92.21622%
Epoch: 66   |   Top1: 43.56757%   |   Top5: 82.27027%   |   Top10: 92.10811%
Epoch: 67   |   Top1: 43.24324%   |   Top5: 82.05405%   |   Top10: 92.54054%
Epoch: 68   |   Top1: 42.48649%   |   Top5: 83.67568%   |   Top10: 92.64865%
Epoch: 69   |   Top1: 43.24324%   |   Top5: 80.64865%   |   Top10: 89.18919%
Epoch: 70   |   Top1: 40.0%   |   Top5: 80.43243%   |   Top10: 90.81081%
Epoch: 71   |   Top1: 40.75676%   |   Top5: 77.83784%   |   Top10: 87.35135%
Epoch: 72   |   Top1: 42.81081%   |   Top5: 80.64865%   |   Top10: 90.16216%
Epoch: 73   |   Top1: 42.81081%   |   Top5: 82.05405%   |   Top10: 91.45946%
Epoch: 74   |   Top1: 38.16216%   |   Top5: 79.13514%   |   Top10: 89.72973%
Epoch: 75   |   Top1: 46.37838%   |   Top5: 85.62162%   |   Top10: 93.62162%
Epoch: 76   |   Top1: 39.24324%   |   Top5: 78.7027%   |   Top10: 88.54054%
Epoch: 77   |   Top1: 38.7027%   |   Top5: 78.48649%   |   Top10: 89.72973%
Epoch: 78   |   Top1: 42.27027%   |   Top5: 80.0%   |   Top10: 91.02703%
Epoch: 79   |   Top1: 44.0%   |   Top5: 80.0%   |   Top10: 90.16216%
Epoch: 80   |   Top1: 43.56757%   |   Top5: 80.0%   |   Top10: 91.35135%
Epoch: 81   |   Top1: 47.45946%   |   Top5: 84.54054%   |   Top10: 92.97297%
Epoch: 82   |   Top1: 46.59459%   |   Top5: 84.86486%   |   Top10: 94.59459%
Epoch: 83   |   Top1: 48.43243%   |   Top5: 87.13514%   |   Top10: 94.16216%
Epoch: 84   |   Top1: 44.32432%   |   Top5: 83.89189%   |   Top10: 93.08108%
Epoch: 85   |   Top1: 44.54054%   |   Top5: 84.32432%   |   Top10: 92.43243%
Epoch: 86   |   Top1: 48.10811%   |   Top5: 87.56757%   |   Top10: 94.59459%
Epoch: 87   |   Top1: 43.78378%   |   Top5: 82.48649%   |   Top10: 91.35135%
Epoch: 88   |   Top1: 41.2973%   |   Top5: 81.83784%   |   Top10: 91.56757%
Epoch: 89   |   Top1: 45.18919%   |   Top5: 86.59459%   |   Top10: 93.94595%
Epoch: 90   |   Top1: 49.40541%   |   Top5: 86.05405%   |   Top10: 94.16216%
Epoch: 91   |   Top1: 43.56757%   |   Top5: 85.08108%   |   Top10: 93.18919%
Epoch: 92   |   Top1: 47.78378%   |   Top5: 88.21622%   |   Top10: 93.72973%
Epoch: 93   |   Top1: 49.72973%   |   Top5: 86.7027%   |   Top10: 95.24324%
Epoch: 94   |   Top1: 45.08108%   |   Top5: 84.43243%   |   Top10: 93.40541%
