Epoch: 1 | Train_loss: 178.91727 | Train_acc: 79.01800% | Val_acc: 96.65000%
Epoch: 2 | Train_loss: 78.06251 | Train_acc: 89.62200% | Val_acc: 97.23000%
Epoch: 3 | Train_loss: 71.05809 | Train_acc: 90.60800% | Val_acc: 96.87000%
Epoch: 4 | Train_loss: 66.53328 | Train_acc: 91.16400% | Val_acc: 97.43000%
Epoch: 5 | Train_loss: 64.85434 | Train_acc: 91.42800% | Val_acc: 97.56000%
Epoch: 6 | Train_loss: 60.25545 | Train_acc: 91.98800% | Val_acc: 97.26000%
Epoch: 7 | Train_loss: 59.56551 | Train_acc: 92.19800% | Val_acc: 97.19000%
Epoch: 8 | Train_loss: 55.03000 | Train_acc: 92.66200% | Val_acc: 97.14000%
Epoch: 9 | Train_loss: 56.29922 | Train_acc: 92.50600% | Val_acc: 97.47000%
Epoch: 10 | Train_loss: 56.11785 | Train_acc: 92.57600% | Val_acc: 96.98000%
Epoch: 11 | Train_loss: 56.58848 | Train_acc: 92.49600% | Val_acc: 97.40000%
Epoch: 12 | Train_loss: 52.74179 | Train_acc: 92.95800% | Val_acc: 97.20000%
Epoch: 13 | Train_loss: 53.14427 | Train_acc: 92.95400% | Val_acc: 97.04000%
Epoch: 14 | Train_loss: 50.25237 | Train_acc: 93.26600% | Val_acc: 97.26000%
Epoch: 15 | Train_loss: 52.67003 | Train_acc: 93.13600% | Val_acc: 97.02000%
Epoch: 16 | Train_loss: 48.29275 | Train_acc: 93.53200% | Val_acc: 97.20000%
Epoch: 17 | Train_loss: 46.38136 | Train_acc: 93.69400% | Val_acc: 97.03000%
Epoch: 18 | Train_loss: 47.76172 | Train_acc: 93.69800% | Val_acc: 97.32000%
Epoch: 19 | Train_loss: 48.27463 | Train_acc: 93.53400% | Val_acc: 97.06000%
Epoch: 20 | Train_loss: 45.29695 | Train_acc: 93.98000% | Val_acc: 97.48000%
Epoch: 21 | Train_loss: 44.81846 | Train_acc: 94.02600% | Val_acc: 97.07000%
Epoch: 22 | Train_loss: 44.51618 | Train_acc: 94.18200% | Val_acc: 96.95000%
Epoch: 23 | Train_loss: 43.07974 | Train_acc: 94.24400% | Val_acc: 96.84000%
Epoch: 24 | Train_loss: 44.50395 | Train_acc: 94.02400% | Val_acc: 97.46000%
Epoch: 25 | Train_loss: 42.08490 | Train_acc: 94.42800% | Val_acc: 97.29000%
Epoch: 26 | Train_loss: 41.98643 | Train_acc: 94.40000% | Val_acc: 97.13000%
Epoch: 27 | Train_loss: 41.64513 | Train_acc: 94.48600% | Val_acc: 97.40000%
Epoch: 28 | Train_loss: 39.93200 | Train_acc: 94.69600% | Val_acc: 97.26000%
Epoch: 29 | Train_loss: 39.92259 | Train_acc: 94.69800% | Val_acc: 97.27000%
Epoch: 30 | Train_loss: 39.86371 | Train_acc: 94.68000% | Val_acc: 97.25000%
Epoch: 31 | Train_loss: 38.65112 | Train_acc: 94.84200% | Val_acc: 97.34000%
Epoch: 32 | Train_loss: 38.10787 | Train_acc: 94.95600% | Val_acc: 97.04000%
Epoch: 33 | Train_loss: 37.78429 | Train_acc: 95.00000% | Val_acc: 97.27000%
Epoch: 34 | Train_loss: 36.69710 | Train_acc: 95.09200% | Val_acc: 96.83000%
Epoch: 35 | Train_loss: 36.79470 | Train_acc: 95.10200% | Val_acc: 96.86000%
Epoch: 36 | Train_loss: 37.52121 | Train_acc: 94.96200% | Val_acc: 97.54000%
Epoch: 37 | Train_loss: 34.89400 | Train_acc: 95.37000% | Val_acc: 97.47000%
Epoch: 38 | Train_loss: 34.20886 | Train_acc: 95.50800% | Val_acc: 97.23000%
Epoch: 39 | Train_loss: 34.89455 | Train_acc: 95.43600% | Val_acc: 97.34000%
Epoch: 40 | Train_loss: 33.78719 | Train_acc: 95.43200% | Val_acc: 97.03000%
Epoch: 41 | Train_loss: 32.31485 | Train_acc: 95.68200% | Val_acc: 97.49000%
Epoch: 42 | Train_loss: 31.39684 | Train_acc: 95.77200% | Val_acc: 97.58000%
Epoch: 43 | Train_loss: 32.06347 | Train_acc: 95.73800% | Val_acc: 97.26000%
Epoch: 44 | Train_loss: 30.67440 | Train_acc: 95.92800% | Val_acc: 97.58000%
Epoch: 45 | Train_loss: 30.44038 | Train_acc: 95.99800% | Val_acc: 97.59000%
Epoch: 46 | Train_loss: 31.33326 | Train_acc: 95.86800% | Val_acc: 97.47000%
Epoch: 47 | Train_loss: 30.34174 | Train_acc: 96.00000% | Val_acc: 97.66000%
Epoch: 48 | Train_loss: 28.50501 | Train_acc: 96.17200% | Val_acc: 97.52000%
Epoch: 49 | Train_loss: 28.28294 | Train_acc: 96.18000% | Val_acc: 97.45000%
Epoch: 50 | Train_loss: 28.26686 | Train_acc: 96.22800% | Val_acc: 97.48000%
Epoch: 51 | Train_loss: 28.23316 | Train_acc: 96.23400% | Val_acc: 97.32000%
Epoch: 52 | Train_loss: 26.89423 | Train_acc: 96.42600% | Val_acc: 97.21000%
Epoch: 53 | Train_loss: 26.86412 | Train_acc: 96.39000% | Val_acc: 97.36000%
Epoch: 54 | Train_loss: 25.98519 | Train_acc: 96.49200% | Val_acc: 97.58000%
Epoch: 55 | Train_loss: 26.50793 | Train_acc: 96.43800% | Val_acc: 97.65000%
Epoch: 56 | Train_loss: 25.21205 | Train_acc: 96.66600% | Val_acc: 97.54000%
Epoch: 57 | Train_loss: 25.93306 | Train_acc: 96.59600% | Val_acc: 97.56000%
Epoch: 58 | Train_loss: 24.54946 | Train_acc: 96.63400% | Val_acc: 97.48000%
Epoch: 59 | Train_loss: 24.26198 | Train_acc: 96.75200% | Val_acc: 97.71000%
Epoch: 60 | Train_loss: 23.44594 | Train_acc: 96.85200% | Val_acc: 97.71000%
Epoch: 61 | Train_loss: 22.99787 | Train_acc: 96.96000% | Val_acc: 97.78000%
Epoch: 62 | Train_loss: 22.79086 | Train_acc: 96.97600% | Val_acc: 97.92000%
Epoch: 63 | Train_loss: 22.48734 | Train_acc: 96.97200% | Val_acc: 97.66000%
Epoch: 64 | Train_loss: 21.61372 | Train_acc: 97.10000% | Val_acc: 97.85000%
Epoch: 65 | Train_loss: 21.84660 | Train_acc: 97.06000% | Val_acc: 97.82000%
Epoch: 66 | Train_loss: 21.17870 | Train_acc: 97.15400% | Val_acc: 97.72000%
Epoch: 67 | Train_loss: 21.38730 | Train_acc: 97.10800% | Val_acc: 97.97000%
Epoch: 68 | Train_loss: 20.38918 | Train_acc: 97.25800% | Val_acc: 97.73000%
Epoch: 69 | Train_loss: 20.71197 | Train_acc: 97.30400% | Val_acc: 97.79000%
Epoch: 70 | Train_loss: 20.03333 | Train_acc: 97.36000% | Val_acc: 97.93000%
Epoch: 71 | Train_loss: 19.81596 | Train_acc: 97.42400% | Val_acc: 97.99000%
Epoch: 72 | Train_loss: 19.05521 | Train_acc: 97.43800% | Val_acc: 97.91000%
Epoch: 73 | Train_loss: 20.14267 | Train_acc: 97.30400% | Val_acc: 97.93000%
Epoch: 74 | Train_loss: 17.90889 | Train_acc: 97.62200% | Val_acc: 97.96000%
Epoch: 75 | Train_loss: 17.90285 | Train_acc: 97.61400% | Val_acc: 98.00000%
Epoch: 76 | Train_loss: 17.78460 | Train_acc: 97.66800% | Val_acc: 98.00000%
Epoch: 77 | Train_loss: 17.50735 | Train_acc: 97.62000% | Val_acc: 97.95000%
Epoch: 78 | Train_loss: 17.67290 | Train_acc: 97.62000% | Val_acc: 98.16000%
Epoch: 79 | Train_loss: 16.74588 | Train_acc: 97.80400% | Val_acc: 98.16000%
Epoch: 80 | Train_loss: 17.22420 | Train_acc: 97.66000% | Val_acc: 98.13000%
Epoch: 81 | Train_loss: 17.48452 | Train_acc: 97.66200% | Val_acc: 98.06000%
Epoch: 82 | Train_loss: 17.40329 | Train_acc: 97.67400% | Val_acc: 98.18000%
Epoch: 83 | Train_loss: 15.85209 | Train_acc: 97.88600% | Val_acc: 98.02000%
Epoch: 84 | Train_loss: 16.08651 | Train_acc: 97.84200% | Val_acc: 97.99000%
Epoch: 85 | Train_loss: 15.68569 | Train_acc: 97.92800% | Val_acc: 98.17000%
Epoch: 86 | Train_loss: 15.94249 | Train_acc: 97.88600% | Val_acc: 98.19000%
Epoch: 87 | Train_loss: 14.99577 | Train_acc: 97.96800% | Val_acc: 98.21000%
Epoch: 88 | Train_loss: 15.05557 | Train_acc: 97.93800% | Val_acc: 98.27000%
Epoch: 89 | Train_loss: 15.47762 | Train_acc: 97.86200% | Val_acc: 98.27000%
Epoch: 90 | Train_loss: 14.64908 | Train_acc: 98.11800% | Val_acc: 98.24000%
Epoch: 91 | Train_loss: 15.76622 | Train_acc: 97.90600% | Val_acc: 98.31000%
Epoch: 92 | Train_loss: 14.87134 | Train_acc: 97.91000% | Val_acc: 98.26000%
Epoch: 93 | Train_loss: 14.95038 | Train_acc: 97.98200% | Val_acc: 98.27000%
Epoch: 94 | Train_loss: 15.42364 | Train_acc: 97.99800% | Val_acc: 98.26000%
Epoch: 95 | Train_loss: 14.98825 | Train_acc: 97.99600% | Val_acc: 98.27000%
Epoch: 96 | Train_loss: 15.09651 | Train_acc: 97.97200% | Val_acc: 98.29000%
Epoch: 97 | Train_loss: 15.43145 | Train_acc: 97.90200% | Val_acc: 98.27000%
Epoch: 98 | Train_loss: 15.02706 | Train_acc: 97.97400% | Val_acc: 98.27000%
Best Acc: 98.31000%
