 Epoch: 1 | Train_loss: 460.32197 | Train_acc: 55.96400% | Val_acc: 85.16000%
 Epoch: 2 | Train_loss: 227.08153 | Train_acc: 75.82000% | Val_acc: 86.85000%
 Epoch: 3 | Train_loss: 196.92902 | Train_acc: 79.05000% | Val_acc: 87.26000%
 Epoch: 4 | Train_loss: 177.30021 | Train_acc: 81.07400% | Val_acc: 87.69000%
 Epoch: 5 | Train_loss: 165.63060 | Train_acc: 82.38200% | Val_acc: 88.29000%
 Epoch: 6 | Train_loss: 152.83916 | Train_acc: 83.66800% | Val_acc: 87.79000%
 Epoch: 7 | Train_loss: 146.53713 | Train_acc: 84.46600% | Val_acc: 88.07000%
 Epoch: 8 | Train_loss: 140.88074 | Train_acc: 85.01400% | Val_acc: 87.16000%
 Epoch: 9 | Train_loss: 134.48274 | Train_acc: 85.57800% | Val_acc: 87.39000%
 Epoch: 10 | Train_loss: 128.95243 | Train_acc: 86.18800% | Val_acc: 87.23000%
 Epoch: 11 | Train_loss: 124.42407 | Train_acc: 86.92000% | Val_acc: 87.03000%
 Epoch: 12 | Train_loss: 120.83400 | Train_acc: 87.12200% | Val_acc: 86.51000%
 Epoch: 13 | Train_loss: 115.87486 | Train_acc: 87.50800% | Val_acc: 87.38000%
 Epoch: 14 | Train_loss: 113.93787 | Train_acc: 88.03800% | Val_acc: 86.72000%
 Epoch: 15 | Train_loss: 110.30800 | Train_acc: 88.36400% | Val_acc: 87.00000%
 Epoch: 16 | Train_loss: 110.09290 | Train_acc: 88.36600% | Val_acc: 87.70000%
 Epoch: 17 | Train_loss: 106.00270 | Train_acc: 88.88000% | Val_acc: 87.10000%
 Epoch: 18 | Train_loss: 102.32714 | Train_acc: 89.17600% | Val_acc: 86.87000%
 Epoch: 19 | Train_loss: 99.20074 | Train_acc: 89.58000% | Val_acc: 86.38000%
 Epoch: 20 | Train_loss: 103.62877 | Train_acc: 89.07400% | Val_acc: 85.79000%
 Epoch: 21 | Train_loss: 96.31110 | Train_acc: 89.69600% | Val_acc: 86.69000%
 Epoch: 22 | Train_loss: 95.64041 | Train_acc: 89.90400% | Val_acc: 86.54000%
 Epoch: 23 | Train_loss: 94.51091 | Train_acc: 90.02200% | Val_acc: 87.20000%
 Epoch: 24 | Train_loss: 91.82052 | Train_acc: 90.23800% | Val_acc: 86.01000%
 Epoch: 25 | Train_loss: 89.55794 | Train_acc: 90.58200% | Val_acc: 86.57000%
 Epoch: 26 | Train_loss: 85.56901 | Train_acc: 90.97000% | Val_acc: 86.16000%
 Epoch: 27 | Train_loss: 87.31738 | Train_acc: 90.86400% | Val_acc: 86.35000%
 Epoch: 28 | Train_loss: 82.65522 | Train_acc: 91.17600% | Val_acc: 86.32000%
 Epoch: 29 | Train_loss: 84.59462 | Train_acc: 91.08400% | Val_acc: 86.32000%
 Epoch: 30 | Train_loss: 80.36634 | Train_acc: 91.56800% | Val_acc: 85.84000%
 Epoch: 31 | Train_loss: 81.79669 | Train_acc: 91.29000% | Val_acc: 86.14000%
 Epoch: 32 | Train_loss: 79.35935 | Train_acc: 91.70200% | Val_acc: 86.80000%
 Epoch: 33 | Train_loss: 78.53950 | Train_acc: 91.70000% | Val_acc: 85.68000%
 Epoch: 34 | Train_loss: 75.08927 | Train_acc: 92.06400% | Val_acc: 85.74000%
 Epoch: 35 | Train_loss: 74.87986 | Train_acc: 92.04000% | Val_acc: 86.04000%
 Epoch: 36 | Train_loss: 75.12694 | Train_acc: 92.07000% | Val_acc: 86.37000%
 Epoch: 37 | Train_loss: 72.70505 | Train_acc: 92.40200% | Val_acc: 86.43000%
 Epoch: 38 | Train_loss: 69.13102 | Train_acc: 92.71200% | Val_acc: 86.21000%
 Epoch: 39 | Train_loss: 69.02292 | Train_acc: 92.73800% | Val_acc: 85.73000%
 Epoch: 40 | Train_loss: 67.73797 | Train_acc: 92.82000% | Val_acc: 86.94000%
 Epoch: 41 | Train_loss: 65.91617 | Train_acc: 93.10800% | Val_acc: 86.84000%
 Epoch: 42 | Train_loss: 66.45155 | Train_acc: 92.99400% | Val_acc: 86.21000%
 Epoch: 43 | Train_loss: 66.57614 | Train_acc: 93.04000% | Val_acc: 86.36000%
 Epoch: 44 | Train_loss: 65.24180 | Train_acc: 93.15200% | Val_acc: 85.95000%
 Epoch: 45 | Train_loss: 63.91876 | Train_acc: 93.26600% | Val_acc: 86.14000%
 Epoch: 46 | Train_loss: 61.00972 | Train_acc: 93.55800% | Val_acc: 86.50000%
 Epoch: 47 | Train_loss: 60.32955 | Train_acc: 93.68800% | Val_acc: 86.22000%
 Epoch: 48 | Train_loss: 57.10878 | Train_acc: 94.01600% | Val_acc: 86.61000%
 Epoch: 49 | Train_loss: 57.45434 | Train_acc: 93.95000% | Val_acc: 86.29000%
 Epoch: 50 | Train_loss: 56.85410 | Train_acc: 94.07000% | Val_acc: 86.23000%
 Epoch: 51 | Train_loss: 54.80227 | Train_acc: 94.30400% | Val_acc: 86.61000%
 Epoch: 52 | Train_loss: 55.56051 | Train_acc: 94.09800% | Val_acc: 86.68000%
 Epoch: 53 | Train_loss: 52.22154 | Train_acc: 94.46400% | Val_acc: 86.91000%
 Epoch: 54 | Train_loss: 52.69042 | Train_acc: 94.45600% | Val_acc: 86.16000%
 Epoch: 55 | Train_loss: 50.86633 | Train_acc: 94.60000% | Val_acc: 86.60000%
 Epoch: 56 | Train_loss: 50.44659 | Train_acc: 94.73200% | Val_acc: 86.18000%
 Epoch: 57 | Train_loss: 52.17250 | Train_acc: 94.62400% | Val_acc: 86.57000%
 Epoch: 58 | Train_loss: 50.57682 | Train_acc: 94.75800% | Val_acc: 86.56000%
 Epoch: 59 | Train_loss: 47.94892 | Train_acc: 94.92400% | Val_acc: 86.54000%
 Epoch: 60 | Train_loss: 46.45687 | Train_acc: 94.97600% | Val_acc: 86.67000%
 Epoch: 61 | Train_loss: 46.79577 | Train_acc: 95.02200% | Val_acc: 87.24000%
 Epoch: 62 | Train_loss: 44.60398 | Train_acc: 95.33800% | Val_acc: 86.77000%
 Epoch: 63 | Train_loss: 45.25312 | Train_acc: 95.25000% | Val_acc: 86.93000%
 Epoch: 64 | Train_loss: 42.87650 | Train_acc: 95.45600% | Val_acc: 86.98000%
 Epoch: 65 | Train_loss: 42.08747 | Train_acc: 95.44600% | Val_acc: 87.09000%
 Epoch: 66 | Train_loss: 42.05268 | Train_acc: 95.61600% | Val_acc: 87.33000%
 Epoch: 67 | Train_loss: 41.65056 | Train_acc: 95.58800% | Val_acc: 87.05000%
 Epoch: 68 | Train_loss: 39.58106 | Train_acc: 95.85200% | Val_acc: 87.38000%
 Epoch: 69 | Train_loss: 38.89246 | Train_acc: 95.93000% | Val_acc: 87.25000%
 Epoch: 70 | Train_loss: 38.80581 | Train_acc: 95.94800% | Val_acc: 87.48000%
 Epoch: 71 | Train_loss: 40.16231 | Train_acc: 95.85400% | Val_acc: 87.59000%
 Epoch: 72 | Train_loss: 37.07966 | Train_acc: 96.13800% | Val_acc: 87.50000%
 Epoch: 73 | Train_loss: 37.47284 | Train_acc: 95.98600% | Val_acc: 87.34000%
 Epoch: 74 | Train_loss: 37.53253 | Train_acc: 96.02600% | Val_acc: 87.43000%
 Epoch: 75 | Train_loss: 34.67556 | Train_acc: 96.25800% | Val_acc: 87.86000%
 Epoch: 76 | Train_loss: 34.45216 | Train_acc: 96.39600% | Val_acc: 87.42000%
 Epoch: 77 | Train_loss: 35.16247 | Train_acc: 96.30200% | Val_acc: 87.55000%
 Epoch: 78 | Train_loss: 34.05016 | Train_acc: 96.34400% | Val_acc: 87.88000%
 Epoch: 79 | Train_loss: 33.62468 | Train_acc: 96.48600% | Val_acc: 87.82000%
 Epoch: 80 | Train_loss: 33.37998 | Train_acc: 96.45200% | Val_acc: 87.96000%
 Epoch: 81 | Train_loss: 31.41269 | Train_acc: 96.71200% | Val_acc: 87.88000%
 Epoch: 82 | Train_loss: 32.43288 | Train_acc: 96.65800% | Val_acc: 87.87000%
 Epoch: 83 | Train_loss: 31.59366 | Train_acc: 96.73400% | Val_acc: 87.96000%
 Epoch: 84 | Train_loss: 30.91584 | Train_acc: 96.70200% | Val_acc: 87.92000%
 Epoch: 85 | Train_loss: 30.80531 | Train_acc: 96.77400% | Val_acc: 88.03000%
 Epoch: 86 | Train_loss: 32.04429 | Train_acc: 96.59600% | Val_acc: 88.00000%
 Epoch: 87 | Train_loss: 31.10632 | Train_acc: 96.73000% | Val_acc: 88.02000%
 Epoch: 88 | Train_loss: 30.17095 | Train_acc: 96.85200% | Val_acc: 88.08000%
 Epoch: 89 | Train_loss: 31.71300 | Train_acc: 96.80400% | Val_acc: 88.26000%
 Epoch: 90 | Train_loss: 30.06894 | Train_acc: 96.79400% | Val_acc: 88.21000%
 Epoch: 91 | Train_loss: 29.07523 | Train_acc: 96.93400% | Val_acc: 88.31000%
 Epoch: 92 | Train_loss: 29.38127 | Train_acc: 96.92200% | Val_acc: 88.15000%
 Epoch: 93 | Train_loss: 30.88844 | Train_acc: 96.84200% | Val_acc: 88.31000%
 Epoch: 94 | Train_loss: 30.13083 | Train_acc: 96.74400% | Val_acc: 88.30000%
 Epoch: 95 | Train_loss: 29.88170 | Train_acc: 96.80000% | Val_acc: 88.24000%
 Epoch: 96 | Train_loss: 28.57304 | Train_acc: 96.99200% | Val_acc: 88.23000%
 Epoch: 97 | Train_loss: 29.87688 | Train_acc: 96.87000% | Val_acc: 88.28000%
 Epoch: 98 | Train_loss: 29.54372 | Train_acc: 96.84600% | Val_acc: 88.29000%
 Epoch: 99 | Train_loss: 28.50754 | Train_acc: 96.99200% | Val_acc: 88.30000%
 Epoch: 100 | Train_loss: 29.59355 | Train_acc: 96.88000% | Val_acc: 88.30000%
Best Acc: 88.31
