 Epoch: 1 | Train_loss: 1760.39901 | Train_acc: 29.81100% | Val_acc: 76.44000%
 Epoch: 2 | Train_loss: 703.25181 | Train_acc: 67.13300% | Val_acc: 81.24000%
 Epoch: 3 | Train_loss: 602.97031 | Train_acc: 71.12000% | Val_acc: 82.69000%
 Epoch: 4 | Train_loss: 545.44126 | Train_acc: 73.68200% | Val_acc: 82.74000%
 Epoch: 5 | Train_loss: 509.40752 | Train_acc: 75.32900% | Val_acc: 82.73000%
 Epoch: 6 | Train_loss: 479.32664 | Train_acc: 76.60800% | Val_acc: 82.86000%
 Epoch: 7 | Train_loss: 448.44090 | Train_acc: 78.15100% | Val_acc: 83.53000%
 Epoch: 8 | Train_loss: 431.27476 | Train_acc: 78.76600% | Val_acc: 82.94000%
 Epoch: 9 | Train_loss: 407.07581 | Train_acc: 79.93300% | Val_acc: 83.25000%
 Epoch: 10 | Train_loss: 386.33481 | Train_acc: 80.98400% | Val_acc: 83.44000%
 Epoch: 11 | Train_loss: 377.33351 | Train_acc: 81.48400% | Val_acc: 82.74000%
 Epoch: 12 | Train_loss: 363.60890 | Train_acc: 82.10600% | Val_acc: 83.14000%
 Epoch: 13 | Train_loss: 352.93634 | Train_acc: 82.67400% | Val_acc: 82.42000%
 Epoch: 14 | Train_loss: 343.23620 | Train_acc: 83.12100% | Val_acc: 82.69000%
 Epoch: 15 | Train_loss: 328.67513 | Train_acc: 83.78100% | Val_acc: 82.25000%
 Epoch: 16 | Train_loss: 324.28331 | Train_acc: 84.08000% | Val_acc: 82.33000%
 Epoch: 17 | Train_loss: 313.78395 | Train_acc: 84.58500% | Val_acc: 82.45000%
 Epoch: 18 | Train_loss: 306.60444 | Train_acc: 85.02400% | Val_acc: 82.67000%
 Epoch: 19 | Train_loss: 295.44470 | Train_acc: 85.48100% | Val_acc: 82.23000%
 Epoch: 20 | Train_loss: 293.04423 | Train_acc: 85.55800% | Val_acc: 82.11000%
 Epoch: 21 | Train_loss: 283.70474 | Train_acc: 86.11100% | Val_acc: 82.25000%
 Epoch: 22 | Train_loss: 282.97661 | Train_acc: 86.22100% | Val_acc: 81.74000%
 Epoch: 23 | Train_loss: 275.26362 | Train_acc: 86.43600% | Val_acc: 81.85000%
 Epoch: 24 | Train_loss: 270.33333 | Train_acc: 86.81300% | Val_acc: 81.65000%
 Epoch: 25 | Train_loss: 263.82092 | Train_acc: 87.15800% | Val_acc: 81.53000%
 Epoch: 26 | Train_loss: 256.76355 | Train_acc: 87.41900% | Val_acc: 81.73000%
 Epoch: 27 | Train_loss: 254.34801 | Train_acc: 87.63600% | Val_acc: 81.73000%
 Epoch: 28 | Train_loss: 248.43251 | Train_acc: 87.95700% | Val_acc: 81.52000%
 Epoch: 29 | Train_loss: 247.08716 | Train_acc: 88.00800% | Val_acc: 81.61000%
 Epoch: 30 | Train_loss: 243.08368 | Train_acc: 88.23100% | Val_acc: 81.73000%
 Epoch: 31 | Train_loss: 236.89779 | Train_acc: 88.38600% | Val_acc: 81.39000%
 Epoch: 32 | Train_loss: 235.68447 | Train_acc: 88.57300% | Val_acc: 81.35000%
 Epoch: 33 | Train_loss: 231.60898 | Train_acc: 88.74100% | Val_acc: 81.40000%
 Epoch: 34 | Train_loss: 228.14331 | Train_acc: 88.94500% | Val_acc: 81.25000%
 Epoch: 35 | Train_loss: 222.59085 | Train_acc: 89.20500% | Val_acc: 81.01000%
 Epoch: 36 | Train_loss: 218.83360 | Train_acc: 89.33800% | Val_acc: 81.08000%
 Epoch: 37 | Train_loss: 217.12201 | Train_acc: 89.50900% | Val_acc: 81.39000%
 Epoch: 38 | Train_loss: 212.86484 | Train_acc: 89.56500% | Val_acc: 81.69000%
 Epoch: 39 | Train_loss: 210.04958 | Train_acc: 89.88100% | Val_acc: 81.64000%
 Epoch: 40 | Train_loss: 209.11802 | Train_acc: 89.83300% | Val_acc: 81.56000%
 Epoch: 41 | Train_loss: 205.15338 | Train_acc: 90.15700% | Val_acc: 81.62000%
 Epoch: 42 | Train_loss: 199.69973 | Train_acc: 90.28300% | Val_acc: 81.35000%
 Epoch: 43 | Train_loss: 199.51490 | Train_acc: 90.21200% | Val_acc: 81.49000%
 Epoch: 44 | Train_loss: 192.45871 | Train_acc: 90.59400% | Val_acc: 80.84000%
 Epoch: 45 | Train_loss: 191.82830 | Train_acc: 90.70500% | Val_acc: 81.50000%
 Epoch: 46 | Train_loss: 192.02249 | Train_acc: 90.67400% | Val_acc: 81.55000%
 Epoch: 47 | Train_loss: 191.81246 | Train_acc: 90.64500% | Val_acc: 81.72000%
 Epoch: 48 | Train_loss: 185.33230 | Train_acc: 91.02300% | Val_acc: 81.52000%
 Epoch: 49 | Train_loss: 185.22064 | Train_acc: 90.95400% | Val_acc: 81.71000%
 Epoch: 50 | Train_loss: 180.01194 | Train_acc: 91.26400% | Val_acc: 81.92000%
 Epoch: 51 | Train_loss: 179.32366 | Train_acc: 91.27300% | Val_acc: 81.48000%
 Epoch: 52 | Train_loss: 177.27339 | Train_acc: 91.34800% | Val_acc: 81.64000%
 Epoch: 53 | Train_loss: 173.54669 | Train_acc: 91.52200% | Val_acc: 81.94000%
 Epoch: 54 | Train_loss: 169.68549 | Train_acc: 91.72300% | Val_acc: 81.51000%
 Epoch: 55 | Train_loss: 169.56147 | Train_acc: 91.80000% | Val_acc: 81.59000%
 Epoch: 56 | Train_loss: 165.58612 | Train_acc: 91.93800% | Val_acc: 81.53000%
 Epoch: 57 | Train_loss: 162.17939 | Train_acc: 92.13300% | Val_acc: 81.87000%
 Epoch: 58 | Train_loss: 161.63256 | Train_acc: 92.20100% | Val_acc: 81.29000%
 Epoch: 59 | Train_loss: 161.29499 | Train_acc: 92.21800% | Val_acc: 81.65000%
 Epoch: 60 | Train_loss: 159.51490 | Train_acc: 92.20800% | Val_acc: 81.72000%
 Epoch: 61 | Train_loss: 156.02766 | Train_acc: 92.41400% | Val_acc: 81.60000%
 Epoch: 62 | Train_loss: 153.65621 | Train_acc: 92.54800% | Val_acc: 81.68000%
 Epoch: 63 | Train_loss: 151.86735 | Train_acc: 92.60100% | Val_acc: 81.91000%
 Epoch: 64 | Train_loss: 149.89259 | Train_acc: 92.63700% | Val_acc: 81.65000%
 Epoch: 65 | Train_loss: 146.20436 | Train_acc: 92.82800% | Val_acc: 81.82000%
 Epoch: 66 | Train_loss: 143.37028 | Train_acc: 92.98800% | Val_acc: 81.88000%
 Epoch: 67 | Train_loss: 145.86813 | Train_acc: 92.96700% | Val_acc: 81.87000%
 Epoch: 68 | Train_loss: 144.22606 | Train_acc: 92.96700% | Val_acc: 81.67000%
 Epoch: 69 | Train_loss: 143.69332 | Train_acc: 93.05400% | Val_acc: 81.92000%
 Epoch: 70 | Train_loss: 137.82501 | Train_acc: 93.34200% | Val_acc: 81.90000%
 Epoch: 71 | Train_loss: 141.52900 | Train_acc: 93.12600% | Val_acc: 82.07000%
 Epoch: 72 | Train_loss: 138.81989 | Train_acc: 93.24100% | Val_acc: 81.98000%
 Epoch: 73 | Train_loss: 135.52632 | Train_acc: 93.37500% | Val_acc: 81.90000%
 Epoch: 74 | Train_loss: 133.47454 | Train_acc: 93.52200% | Val_acc: 81.99000%
 Epoch: 75 | Train_loss: 132.32696 | Train_acc: 93.49800% | Val_acc: 81.93000%
 Epoch: 76 | Train_loss: 131.54577 | Train_acc: 93.62000% | Val_acc: 82.01000%
 Epoch: 77 | Train_loss: 128.63176 | Train_acc: 93.73600% | Val_acc: 82.24000%
 Epoch: 78 | Train_loss: 130.96066 | Train_acc: 93.62700% | Val_acc: 82.16000%
 Epoch: 79 | Train_loss: 127.65971 | Train_acc: 93.79500% | Val_acc: 82.10000%
 Epoch: 80 | Train_loss: 127.55229 | Train_acc: 93.77200% | Val_acc: 82.20000%
 Epoch: 81 | Train_loss: 125.85515 | Train_acc: 93.86900% | Val_acc: 82.28000%
 Epoch: 82 | Train_loss: 125.33922 | Train_acc: 93.92500% | Val_acc: 82.27000%
 Epoch: 83 | Train_loss: 121.54800 | Train_acc: 94.05800% | Val_acc: 82.24000%
 Epoch: 84 | Train_loss: 123.97976 | Train_acc: 93.96900% | Val_acc: 82.05000%
 Epoch: 85 | Train_loss: 121.60917 | Train_acc: 94.04000% | Val_acc: 82.45000%
 Epoch: 86 | Train_loss: 119.81884 | Train_acc: 94.15700% | Val_acc: 82.21000%
 Epoch: 87 | Train_loss: 120.71297 | Train_acc: 94.13400% | Val_acc: 82.36000%
 Epoch: 88 | Train_loss: 123.64288 | Train_acc: 93.92900% | Val_acc: 82.23000%
 Epoch: 89 | Train_loss: 120.11132 | Train_acc: 94.16700% | Val_acc: 82.20000%
 Epoch: 90 | Train_loss: 123.51560 | Train_acc: 93.98300% | Val_acc: 82.29000%
 Epoch: 91 | Train_loss: 122.20855 | Train_acc: 94.09900% | Val_acc: 82.34000%
 Epoch: 92 | Train_loss: 118.37140 | Train_acc: 94.26100% | Val_acc: 82.39000%
 Epoch: 93 | Train_loss: 118.60472 | Train_acc: 94.16400% | Val_acc: 82.47000%
 Epoch: 94 | Train_loss: 118.02866 | Train_acc: 94.23800% | Val_acc: 82.52000%
 Epoch: 95 | Train_loss: 117.49520 | Train_acc: 94.24400% | Val_acc: 82.50000%
 Epoch: 96 | Train_loss: 118.17489 | Train_acc: 94.22500% | Val_acc: 82.51000%
 Epoch: 97 | Train_loss: 118.14862 | Train_acc: 94.27300% | Val_acc: 82.53000%
 Epoch: 98 | Train_loss: 118.78271 | Train_acc: 94.19400% | Val_acc: 82.54000%
 Epoch: 99 | Train_loss: 116.31663 | Train_acc: 94.32000% | Val_acc: 82.54000%
 Epoch: 100 | Train_loss: 118.64491 | Train_acc: 94.23700% | Val_acc: 82.53000%
Best Acc: 83.53
