 Epoch: 1 | Train_loss: 1258.87936 | Train_acc: 47.62600% | Val_acc: 79.46000%
 Epoch: 2 | Train_loss: 659.59636 | Train_acc: 68.95300% | Val_acc: 81.79000%
 Epoch: 3 | Train_loss: 580.68381 | Train_acc: 72.22500% | Val_acc: 82.60000%
 Epoch: 4 | Train_loss: 537.45732 | Train_acc: 74.06600% | Val_acc: 83.03000%
 Epoch: 5 | Train_loss: 497.11779 | Train_acc: 75.86400% | Val_acc: 82.88000%
 Epoch: 6 | Train_loss: 466.81685 | Train_acc: 77.25700% | Val_acc: 83.01000%
 Epoch: 7 | Train_loss: 449.17310 | Train_acc: 78.09600% | Val_acc: 83.23000%
 Epoch: 8 | Train_loss: 423.33084 | Train_acc: 79.32500% | Val_acc: 82.70000%
 Epoch: 9 | Train_loss: 408.98865 | Train_acc: 79.81500% | Val_acc: 83.11000%
 Epoch: 10 | Train_loss: 386.77513 | Train_acc: 80.93300% | Val_acc: 83.13000%
 Epoch: 11 | Train_loss: 374.22779 | Train_acc: 81.50500% | Val_acc: 82.45000%
 Epoch: 12 | Train_loss: 360.11901 | Train_acc: 82.28800% | Val_acc: 82.78000%
 Epoch: 13 | Train_loss: 352.37146 | Train_acc: 82.67400% | Val_acc: 82.53000%
 Epoch: 14 | Train_loss: 337.45147 | Train_acc: 83.36500% | Val_acc: 82.99000%
 Epoch: 15 | Train_loss: 327.63299 | Train_acc: 83.89800% | Val_acc: 82.64000%
 Epoch: 16 | Train_loss: 321.28229 | Train_acc: 84.28700% | Val_acc: 82.02000%
 Epoch: 17 | Train_loss: 312.84219 | Train_acc: 84.66100% | Val_acc: 82.45000%
 Epoch: 18 | Train_loss: 305.81809 | Train_acc: 85.00400% | Val_acc: 82.50000%
 Epoch: 19 | Train_loss: 296.42722 | Train_acc: 85.43600% | Val_acc: 82.48000%
 Epoch: 20 | Train_loss: 293.18656 | Train_acc: 85.61800% | Val_acc: 82.67000%
 Epoch: 21 | Train_loss: 286.21929 | Train_acc: 86.05200% | Val_acc: 82.25000%
