 Epoch: 1 | Train_loss: 1116.92489 | Train_acc: 52.38400% | Val_acc: 78.74000%
 Epoch: 2 | Train_loss: 628.07932 | Train_acc: 70.13400% | Val_acc: 81.39000%
 Epoch: 3 | Train_loss: 546.51226 | Train_acc: 73.74300% | Val_acc: 81.36000%
 Epoch: 4 | Train_loss: 497.09399 | Train_acc: 75.80500% | Val_acc: 80.83000%
 Epoch: 5 | Train_loss: 461.44291 | Train_acc: 77.36500% | Val_acc: 81.21000%
 Epoch: 6 | Train_loss: 428.90099 | Train_acc: 78.99800% | Val_acc: 80.02000%
 Epoch: 7 | Train_loss: 405.09325 | Train_acc: 80.00300% | Val_acc: 80.24000%
 Epoch: 8 | Train_loss: 383.34392 | Train_acc: 81.03000% | Val_acc: 80.12000%
 Epoch: 9 | Train_loss: 364.83226 | Train_acc: 82.01700% | Val_acc: 80.59000%
 Epoch: 10 | Train_loss: 345.53772 | Train_acc: 82.93800% | Val_acc: 79.53000%
 Epoch: 11 | Train_loss: 331.43670 | Train_acc: 83.61300% | Val_acc: 79.67000%
 Epoch: 12 | Train_loss: 326.45078 | Train_acc: 83.96600% | Val_acc: 79.80000%
 Epoch: 13 | Train_loss: 313.99967 | Train_acc: 84.53600% | Val_acc: 79.23000%
 Epoch: 14 | Train_loss: 304.10840 | Train_acc: 85.02300% | Val_acc: 79.45000%
 Epoch: 15 | Train_loss: 292.34867 | Train_acc: 85.65200% | Val_acc: 79.45000%
 Epoch: 16 | Train_loss: 283.88913 | Train_acc: 85.95800% | Val_acc: 79.31000%
 Epoch: 17 | Train_loss: 279.07674 | Train_acc: 86.29900% | Val_acc: 78.70000%
 Epoch: 18 | Train_loss: 270.60359 | Train_acc: 86.67900% | Val_acc: 78.43000%
 Epoch: 19 | Train_loss: 270.42402 | Train_acc: 86.73900% | Val_acc: 78.80000%
 Epoch: 20 | Train_loss: 253.40447 | Train_acc: 87.48700% | Val_acc: 78.35000%
 Epoch: 21 | Train_loss: 253.79807 | Train_acc: 87.48900% | Val_acc: 78.28000%
 Epoch: 22 | Train_loss: 248.47078 | Train_acc: 87.87100% | Val_acc: 78.23000%
 Epoch: 23 | Train_loss: 243.26185 | Train_acc: 88.09400% | Val_acc: 78.38000%
 Epoch: 24 | Train_loss: 236.46331 | Train_acc: 88.39200% | Val_acc: 77.85000%
 Epoch: 25 | Train_loss: 230.59024 | Train_acc: 88.74200% | Val_acc: 78.41000%
 Epoch: 26 | Train_loss: 228.34135 | Train_acc: 88.76700% | Val_acc: 78.45000%
 Epoch: 27 | Train_loss: 225.34799 | Train_acc: 88.88000% | Val_acc: 78.34000%
 Epoch: 28 | Train_loss: 220.71232 | Train_acc: 89.21700% | Val_acc: 77.84000%
 Epoch: 29 | Train_loss: 217.72270 | Train_acc: 89.29900% | Val_acc: 78.57000%
 Epoch: 30 | Train_loss: 209.27651 | Train_acc: 89.74900% | Val_acc: 78.15000%
 Epoch: 31 | Train_loss: 205.60013 | Train_acc: 89.91800% | Val_acc: 78.15000%
 Epoch: 32 | Train_loss: 199.32272 | Train_acc: 90.25100% | Val_acc: 78.27000%
 Epoch: 33 | Train_loss: 199.89014 | Train_acc: 90.21300% | Val_acc: 77.74000%
 Epoch: 34 | Train_loss: 195.33424 | Train_acc: 90.44300% | Val_acc: 77.51000%
 Epoch: 35 | Train_loss: 193.04708 | Train_acc: 90.57400% | Val_acc: 77.34000%
 Epoch: 36 | Train_loss: 189.46212 | Train_acc: 90.70600% | Val_acc: 77.56000%
 Epoch: 37 | Train_loss: 184.27894 | Train_acc: 90.98000% | Val_acc: 77.42000%
 Epoch: 38 | Train_loss: 179.05723 | Train_acc: 91.19100% | Val_acc: 77.63000%
 Epoch: 39 | Train_loss: 179.50149 | Train_acc: 91.12400% | Val_acc: 77.62000%
 Epoch: 40 | Train_loss: 174.40863 | Train_acc: 91.45100% | Val_acc: 77.02000%
 Epoch: 41 | Train_loss: 170.84989 | Train_acc: 91.65800% | Val_acc: 77.06000%
 Epoch: 42 | Train_loss: 166.51384 | Train_acc: 91.72100% | Val_acc: 77.92000%
 Epoch: 43 | Train_loss: 165.92304 | Train_acc: 91.88700% | Val_acc: 77.73000%
 Epoch: 44 | Train_loss: 160.41782 | Train_acc: 92.16600% | Val_acc: 77.45000%
 Epoch: 45 | Train_loss: 159.24183 | Train_acc: 92.17700% | Val_acc: 78.06000%
 Epoch: 46 | Train_loss: 155.93535 | Train_acc: 92.28700% | Val_acc: 77.31000%
 Epoch: 47 | Train_loss: 152.45206 | Train_acc: 92.58600% | Val_acc: 78.06000%
 Epoch: 48 | Train_loss: 149.96507 | Train_acc: 92.71100% | Val_acc: 78.02000%
 Epoch: 49 | Train_loss: 145.46322 | Train_acc: 92.89000% | Val_acc: 77.90000%
 Epoch: 50 | Train_loss: 145.82469 | Train_acc: 92.90600% | Val_acc: 78.00000%
 Epoch: 51 | Train_loss: 141.72939 | Train_acc: 93.06900% | Val_acc: 77.93000%
 Epoch: 52 | Train_loss: 137.74398 | Train_acc: 93.23200% | Val_acc: 77.89000%
 Epoch: 53 | Train_loss: 137.84245 | Train_acc: 93.29300% | Val_acc: 77.85000%
 Epoch: 54 | Train_loss: 135.33256 | Train_acc: 93.39800% | Val_acc: 78.03000%
 Epoch: 55 | Train_loss: 132.77486 | Train_acc: 93.47300% | Val_acc: 77.90000%
 Epoch: 56 | Train_loss: 129.09278 | Train_acc: 93.71900% | Val_acc: 78.04000%
 Epoch: 57 | Train_loss: 125.69091 | Train_acc: 93.83000% | Val_acc: 78.21000%
 Epoch: 58 | Train_loss: 119.70458 | Train_acc: 94.15100% | Val_acc: 77.99000%
 Epoch: 59 | Train_loss: 121.46627 | Train_acc: 94.01900% | Val_acc: 78.53000%
 Epoch: 60 | Train_loss: 121.42194 | Train_acc: 94.07400% | Val_acc: 78.51000%
 Epoch: 61 | Train_loss: 116.68008 | Train_acc: 94.29000% | Val_acc: 78.43000%
 Epoch: 62 | Train_loss: 112.90166 | Train_acc: 94.47200% | Val_acc: 78.35000%
 Epoch: 63 | Train_loss: 110.31786 | Train_acc: 94.49700% | Val_acc: 78.32000%
 Epoch: 64 | Train_loss: 110.05735 | Train_acc: 94.61500% | Val_acc: 78.77000%
 Epoch: 65 | Train_loss: 105.96495 | Train_acc: 94.81700% | Val_acc: 79.01000%
 Epoch: 66 | Train_loss: 105.24706 | Train_acc: 94.85600% | Val_acc: 78.87000%
 Epoch: 67 | Train_loss: 105.62152 | Train_acc: 94.80700% | Val_acc: 78.86000%
 Epoch: 68 | Train_loss: 100.15053 | Train_acc: 95.03100% | Val_acc: 79.12000%
 Epoch: 69 | Train_loss: 97.47595 | Train_acc: 95.12900% | Val_acc: 78.42000%
 Epoch: 70 | Train_loss: 97.02340 | Train_acc: 95.24500% | Val_acc: 79.21000%
 Epoch: 71 | Train_loss: 98.33756 | Train_acc: 95.13000% | Val_acc: 78.76000%
 Epoch: 72 | Train_loss: 95.66912 | Train_acc: 95.24800% | Val_acc: 79.14000%
 Epoch: 73 | Train_loss: 92.70356 | Train_acc: 95.42200% | Val_acc: 79.30000%
 Epoch: 74 | Train_loss: 92.01335 | Train_acc: 95.45400% | Val_acc: 79.58000%
 Epoch: 75 | Train_loss: 88.84350 | Train_acc: 95.62600% | Val_acc: 79.42000%
 Epoch: 76 | Train_loss: 86.10512 | Train_acc: 95.73200% | Val_acc: 79.79000%
 Epoch: 77 | Train_loss: 86.19125 | Train_acc: 95.75100% | Val_acc: 79.86000%
 Epoch: 78 | Train_loss: 88.16225 | Train_acc: 95.70000% | Val_acc: 79.91000%
 Epoch: 79 | Train_loss: 86.94208 | Train_acc: 95.73700% | Val_acc: 79.68000%
 Epoch: 80 | Train_loss: 83.06583 | Train_acc: 95.84600% | Val_acc: 79.44000%
 Epoch: 81 | Train_loss: 83.36026 | Train_acc: 95.84500% | Val_acc: 79.61000%
 Epoch: 82 | Train_loss: 80.27479 | Train_acc: 96.03900% | Val_acc: 79.58000%
 Epoch: 83 | Train_loss: 79.05855 | Train_acc: 96.07400% | Val_acc: 79.65000%
 Epoch: 84 | Train_loss: 79.57978 | Train_acc: 96.06800% | Val_acc: 79.82000%
 Epoch: 85 | Train_loss: 79.47161 | Train_acc: 96.15200% | Val_acc: 79.85000%
 Epoch: 86 | Train_loss: 77.18402 | Train_acc: 96.20000% | Val_acc: 79.89000%
 Epoch: 87 | Train_loss: 76.71370 | Train_acc: 96.24100% | Val_acc: 79.82000%
 Epoch: 88 | Train_loss: 73.88786 | Train_acc: 96.35000% | Val_acc: 79.97000%
 Epoch: 89 | Train_loss: 74.38703 | Train_acc: 96.29500% | Val_acc: 80.13000%
 Epoch: 90 | Train_loss: 76.06235 | Train_acc: 96.27800% | Val_acc: 80.08000%
 Epoch: 91 | Train_loss: 75.04096 | Train_acc: 96.32500% | Val_acc: 80.16000%
 Epoch: 92 | Train_loss: 75.68248 | Train_acc: 96.33000% | Val_acc: 80.10000%
 Epoch: 93 | Train_loss: 74.52082 | Train_acc: 96.35800% | Val_acc: 80.13000%
 Epoch: 94 | Train_loss: 73.57699 | Train_acc: 96.35800% | Val_acc: 80.13000%
 Epoch: 95 | Train_loss: 74.45505 | Train_acc: 96.27500% | Val_acc: 80.04000%
 Epoch: 96 | Train_loss: 72.27376 | Train_acc: 96.43100% | Val_acc: 80.11000%
 Epoch: 97 | Train_loss: 71.73935 | Train_acc: 96.41000% | Val_acc: 80.10000%
 Epoch: 98 | Train_loss: 72.91253 | Train_acc: 96.39600% | Val_acc: 80.11000%
 Epoch: 99 | Train_loss: 72.44342 | Train_acc: 96.44900% | Val_acc: 80.12000%
